name,artists,popularity,danceability,valence,energy,explicit,key,liveness,loudness,speechiness,tempo
We're For The Dark - Remastered 2010,['Badfinger'],22,0.6779999999999999,0.5589999999999999,0.4320000000000001,0,3,0.0727,-12.696,0.0334,117.674
Sixty Years On - Piano Demo,['Elton John'],25,0.456,0.259,0.368,0,6,0.156,-10.692,0.028,143.783
Got to Find Another Way,['The Guess Who'],21,0.433,0.833,0.7240000000000001,0,0,0.17,-9.803,0.0378,84.34100000000002
Feelin' Alright - Live At The Fillmore East/1970,['Joe Cocker'],22,0.436,0.87,0.914,0,5,0.855,-6.955,0.061,174.005
Caravan - Take 7,['Van Morrison'],23,0.669,0.564,0.412,0,7,0.401,-13.095,0.0679,78.71600000000002
For Some We Loved,['Dorothy Ashby'],22,0.467,0.5670000000000001,0.233,0,5,0.184,-15.140999999999998,0.0374,108.363
Yeh Sham Mastani (with Dialogues),"['Kishore Kumar', 'Rajesh Khanna', 'Asha Parekh']",23,0.438,0.551,0.312,0,6,0.0929,-14.05,0.0518,116.365
Isn't It Quiet And Cold,['Gentle Giant'],28,0.7390000000000001,0.612,0.106,0,2,0.274,-21.272,0.0537,109.297
Evil - 40th Anniversary Version / 2010 Remastered,"['Derek & The Dominos', 'Andy Johns']",22,0.459,0.846,0.8220000000000001,0,0,0.16399999999999998,-8.874,0.0416,96.493
Petition the Lord with Prayer - Live,['The Doors'],23,0.374,0.0484,0.5870000000000001,0,2,0.695,-15.821,0.382,92.328
Morning Colors,['Linda Perhacs'],22,0.399,0.187,0.155,0,2,0.106,-12.986,0.0334,110.768
Vine Street,['Harry Nilsson'],20,0.45,0.366,0.21,0,9,0.0756,-15.201,0.0416,121.976
Only One Woman,['The Marbles'],40,0.415,0.206,0.334,0,5,0.123,-17.428,0.03,76.102
Love Story (You and Me),['Harry Nilsson'],20,0.363,0.196,0.0414,0,7,0.0908,-21.556,0.0423,96.215
Why Not?,['Gentle Giant'],28,0.406,0.589,0.507,0,5,0.14800000000000002,-15.737,0.111,160.793
Tattoo - Live,['The Who'],24,0.464,0.28300000000000003,0.66,0,5,0.362,-12.001,0.0981,106.997
Happy Heart,['Andy Williams'],21,0.27,0.491,0.377,0,7,0.659,-12.66,0.0332,115.281
Renegade,['Steppenwolf'],23,0.453,0.521,0.672,0,2,0.183,-13.044,0.0462,120.929
Via del campo,['Fabrizio De André'],47,0.363,0.546,0.16899999999999998,0,7,0.11,-15.123,0.0378,178.588
